paper_key,depth_max,depth_mean,domain_binary,domain_continuous,domain_integer,domain_non_negative,motif_big_m,motif_capacity,motif_flow_balance,motif_headway,motif_modulo,n_formulas,n_objectives,share_bigop,share_equality,share_inequality,sym_index,sym_parameter,sym_var_param_ratio,sym_variable
10.1016_j.trb.2023.02.015,11,6.7907,0,0,0,0,0,0,0,0.023256,0,43,2,0.27907,0.790698,0.139535,10,18,0.5,9
10.1016_j.trb.2023.102786,10,6.04,0,0,0,2,0,0.08,0.08,0,0,25,2,0.64,0.68,0.2,0,0,0,0
10.1016_j.trb.2023.102815,10,6.17778,1,0,1,1,0,0.166667,0.211111,0.011111,0,90,3,0.611111,0.577778,0.288889,12,12,0.5,6
10.1016_j.trb.2024.102885,10,5.80488,2,0,0,3,0,0.170732,0.146341,0,0,41,2,0.634146,0.439024,0.292683,0,0,0,0
10.1016_j.trb.2024.103067,11,4.85714,0,0,0,0,0,0,0,0,0,49,0,0.285714,0.673469,0.306122,8,26,1.03846,27
10.1016_j.trb.2025.103189,9,4.975,5,1,0,6,0,0,0,0,0,40,4,0.35,0.275,0.325,10,13,0.923077,12
10.1016_j.trb.2025.103233,9,6.48889,0,0,0,0,0.155556,0.033333,0.033333,0.011111,0,90,7,0.411111,0.388889,0.477778,10,14,1.07143,15
10.1016_j.trb.2025.103306,11,5.56579,4,0,1,0,0,0.078947,0,0,0,76,10,0.407895,0.276316,0.5,15,20,0.45,9
10.1016_j.trc.2013.08.016,15,6.35556,0,0,0,0,0,0.022222,0.111111,0,0,45,3,0.4,0.533333,0.4,8,19,0.421053,8
10.1016_j.trc.2014.02.023,10,5,0,0,0,0,0,0,0,0,0,16,1,0.1875,0.6875,0.25,4,11,0.545455,6
10.1016_j.trc.2014.06.003,8,4.7037,1,0,0,0,0,0.111111,0.037037,0,0,27,3,0.592593,0.37037,0.444444,5,3,1.33333,4
10.1016_j.trc.2014.11.001,12,5.83333,0,0,0,0,0,0,0,0,0,22,2,0.409091,0.727273,0.272727,2,6,1.33333,8
10.1016_j.trc.2015.07.012,10,4.77358,0,0,0,0,0,0,0,0,0,53,0,0.264151,0.754717,0.113208,6,8,0.75,6
10.1016_j.trc.2015.12.007,12,6.65217,0,0,0,0,0,0.173913,0.043478,0,0,23,6,0.913043,0.652174,0.304348,1,7,0.571429,4
10.1016_j.trc.2016.04.018,6,5.33333,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0
10.1016_j.trc.2016.05.005,8,4.76923,1,0,0,1,0,0,0,0,0,26,2,0.038462,0.384615,0.461538,2,5,1.8,9
10.1016_j.trc.2016.05.006,8,4.47826,0,0,0,0,0,0,0,0.028986,0,69,4,0.086957,0.217391,0.73913,0,0,0,0
10.1016_j.trc.2016.05.020,8,5.875,1,0,0,0,0,0.041667,0.041667,0,0,24,5,0.625,0.5,0.375,0,0,0,0
10.1016_j.trc.2016.11.007,9,5.31034,0,0,0,0,0,0,0,0.068966,0,29,2,0,0.551724,0.448276,4,10,0.4,4
10.1016_j.trc.2016.11.018,8,6.0303,0,0,0,0,0,0,0,0,0,33,0,0.121212,0.212121,0.151515,2,18,0.055556,1
10.1016_j.trc.2016.12.015,8,5.63636,0,0,0,0,0,0,0,0,0,11,0,0.181818,0.545455,0.454545,8,3,1.33333,4
10.1016_j.trc.2017.02.001,7,5.625,0,0,0,0,0,0.1875,0,0,0,16,0,0.875,0.5,0.3125,9,5,0.8,4
10.1016_j.trc.2017.03.012,6,4.91667,2,0,0,0,0,0,0,0,0,12,2,0.25,0,0.666667,9,11,0.454545,5
10.1016_j.trc.2017.04.010,14,7.5,0,0,0,0,0,0,0,0,0,28,1,0.535714,0.785714,0.178571,8,9,0.888889,8
10.1016_j.trc.2017.04.012,6,4.45455,2,0,0,0,0,0.083333,0,0,0,12,2,0.416667,0.25,0.166667,8,5,0.6,3
10.1016_j.trc.2017.06.005,9,4.71795,0,0,0,0,0,0,0,0.051282,0,39,5,0.230769,0.641026,0.358974,2,8,0.375,3
